filepath, label
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/75.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/59.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/71.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/65.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/64.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/70.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/58.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/8.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/66.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/72.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/98.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/73.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/67.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/14.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/28.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/29.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/15.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/17.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/16.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/12.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/13.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/39.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/11.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/10.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/21.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/35.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/34.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/20.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/22.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/23.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/37.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/33.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/27.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/26.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/32.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/18.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/24.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/30.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/31.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/25.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/19.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/42.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/56.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/81.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/95.jpg,Bank Statement
/Users/luckysrivastava/Workspace/data/DocumentImages/Bank Statement/94.jpg,Bank Statement
